,node_a,node_b,pattern_value,cluster_label,fold
43,Vis,Default,-0.00021204554808368917,0,3
44,Vis,DorsAttn,0.000996192511746536,0,3
45,Vis,Limbic,-0.001002355917465946,0,3
46,Vis,SalVentAttn,-0.0006790607660075564,0,3
47,Vis,SomMot,0.000962289636628881,0,3
48,Vis,Vis,0.02706852250882472,0,3
0,Cont,Cont,0.019441762057368278,1,3
1,Cont,Default,0.0008483602019254096,1,3
2,Cont,DorsAttn,0.0012659254444183708,1,3
3,Cont,Limbic,-0.00025465586065470783,1,3
4,Cont,SalVentAttn,0.0013738692586171032,1,3
5,Cont,SomMot,0.00040084483206857726,1,3
6,Cont,Vis,-0.00101113874698894,1,3
7,Default,Cont,0.0008483601945350842,1,3
8,Default,Default,0.012935660199824553,1,3
9,Default,DorsAttn,-0.00038159142857881835,1,3
10,Default,Limbic,0.0004359019877738529,1,3
11,Default,SalVentAttn,9.199095491341877e-05,1,3
12,Default,SomMot,0.0001328717434205438,1,3
13,Default,Vis,-0.00046850207059397086,1,3
14,DorsAttn,Cont,0.0012659253851530542,1,3
15,DorsAttn,Default,-0.00038159142868509613,1,3
16,DorsAttn,DorsAttn,0.019217364099150855,1,3
17,DorsAttn,Limbic,-0.0015954528538016637,1,3
18,DorsAttn,SalVentAttn,0.0012740360464900922,1,3
19,DorsAttn,SomMot,0.001781731347158181,1,3
20,DorsAttn,Vis,0.0003303132109390065,1,3
21,Limbic,Cont,-0.000254655858893239,1,3
22,Limbic,Default,0.0004359019915225894,1,3
23,Limbic,DorsAttn,-0.0015954529272116827,1,3
24,Limbic,Limbic,0.040097778152047486,1,3
25,Limbic,SalVentAttn,-0.0005603126882784153,1,3
26,Limbic,SomMot,-0.0018727558411562833,1,3
27,Limbic,Vis,-0.0005879376561380152,1,3
28,SalVentAttn,Cont,0.0013738692489322973,1,3
29,SalVentAttn,Default,9.199099833794933e-05,1,3
30,SalVentAttn,DorsAttn,0.001274036005550138,1,3
31,SalVentAttn,Limbic,-0.0005603127733229749,1,3
32,SalVentAttn,SalVentAttn,0.022600583280793632,1,3
